"DGN Element","DWG Element","Description"
"Font","Font","Font Mapping"
"0","txt.shx","Standard"
"1","simplex.shx","Engineering"
"2","romans.shx","Roman Simplex"
"3","romand.shx","Roman Duplex"
"4","isocp.shx","ISO"
"5","monotxt.shx","Monospace"
"6","simplex.shx","Working"
"7","txt.shx","Default"
"ARIAL","arial.ttf","Arial TrueType"
"TIMES","times.ttf","Times TrueType"

"LineStyle","LineType","Line Style Mapping"
"0","CONTINUOUS","Solid"
"1","DASHED","Dashed"
"2","HIDDEN","Hidden"
"3","CENTER","Center"
"4","PHANTOM","Phantom"
"5","DOT","Dotted"
"6","DASHDOT","Dash Dot"
"7","BORDER","Border"

"Color","ACI Color","Color Mapping"
"0","7","White/Black"
"1","1","Blue"
"2","2","Green"
"3","3","Cyan"
"4","4","Red"
"5","5","Magenta"
"6","6","Yellow"
"7","7","White"
"8","8","Dark Grey"
"9","9","Light Grey"

"Weight","Lineweight(mm)","Line Weight Mapping"
"0","0.00","Thinnest"
"1","0.05","Very Thin"
"2","0.09","Thin"
"3","0.13","Light"
"4","0.18","Medium Light"
"5","0.25","Medium"
"6","0.35","Medium Heavy"
"7","0.50","Heavy"
"8","0.70","Very Heavy"
"9","1.00","Extra Heavy"

"Level","Layer","Level to Layer Mapping"
"*","*","Preserve All Levels"

"Scale","Units","Unit Mapping"
"1:1","INCHES","Inch Scale"
"1:12","FEET","Foot Scale"
"1:1","MM","Metric Scale"
